,Image,Full SIDC,Hierarchy Code,Name,Geometry,Annex
1,,SFP------------,1.X.1 ,SPACE TRACK,POINT,D
2,,SFP-S----------,1.X.1.1 ,SATELLITE,POINT,D
3,,SFP-V----------,1.X.1.2 ,CREWED SPACE VEHICLE,POINT,D
4,,SFP-T----------,1.X.1.3 ,SPACE STATION,POINT,D
5,,SFA------------,1.X.2 ,AIR TRACK,POINT,D
6,,SFA-M----------,1.X.2.1 ,MILITARY,POINT,D
7,,SFAPMF---------,1.X.2.1.1 ,FIXED WING,POINT,D
8,,SFAPMFB--------,1.X.2.1.1.1 ,BOMBER,POINT,D
9,,SFAPMFF--------,1.X.2.1.1.2 ,FIGHTER,POINT,D
10,,SFAPMFFI-------,1.X.2.1.1.2.1 ,INTERCEPTOR,POINT,D
11,,SFAPMFT--------,1.X.2.1.1.3 ,TRAINER,POINT,D
12,,SFAPMFA--------,1.X.2.1.1.4 ,ATTACK/STRIKE,POINT,D
13,,SFAPMFL--------,1.X.2.1.1.5 ,VSTOL,POINT,D
14,,SFAPMFK--------,1.X.2.1.1.6 ,TANKER,POINT,D
15,,SFAPMFC--------,1.X.2.1.1.7 ,CARGO AIRLIFT (TRANSPORT),POINT,D
16,,SFAPMFCL-------,1.X.2.1.1.7.1 ,CARGO AIRLIFT (LIGHT),POINT,D
17,,SFAPMFCM-------,1.X.2.1.1.7.2 ,CARGO AIRLIFT (MEDIUM),POINT,D
18,,SFAPMFCH-------,1.X.2.1.1.7.3 ,CARGO AIRLIFT (HEAVY),POINT,D
19,,SFAPMFJ--------,1.X.2.1.1.8 ,ELECTRONIC COUNTERMEASURES(ECM/JAMMER),POINT,D
20,,SFAPMFO--------,1.X.2.1.1.9 ,MEDEVAC,POINT,D
21,,SFAPMFR--------,1.X.2.1.1.10 ,RECONNAISSANCE,POINT,D
22,,SFAPMFRW-------,1.X.2.1.1.10.1 ,AIRBORNE EARLY WARNING (AEW),POINT,D
23,,SFAPMFRZ-------,1.X.2.1.1.10.2 ,ELECTRONIC SURVEILLANCE MEASURES,POINT,D
24,,SFAPMFRX-------,1.X.2.1.1.10.3 ,PHOTOGRAPHIC,POINT,D
25,,SFAPMFP--------,1.X.2.1.1.11 ,PATROL,POINT,D
26,,SFAPMFPN-------,1.X.2.1.1.11.1 ,ANTI SURFACE WARFARE/ASUW,POINT,D
27,,SFAPMFPM-------,1.X.2.1.1.11.2 ,MINE COUNTER MEASURES,POINT,D
28,,SFAPMFU--------,1.X.2.1.1.12 ,UTILITY,POINT,D
